billing_period,date,account_id,service,usage_type,region,cost_usd,usage_quantity
2026-02,2026-02-01,acct_001,AmazonEKS,AmazonEKS-Hours:perCluster,eu-west-1,211.95,2133.18
2026-02,2026-02-01,acct_002,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,846.63,4407.41
2026-02,2026-02-01,acct_002,AmazonS3,TimedStorage-ByteHrs,us-west-2,295.23,12679567.82
2026-02,2026-02-01,acct_002,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,645.96,2682.51
2026-02,2026-02-01,acct_002,AWSLambda,Lambda-GB-Second,us-west-2,86.03,5093504.85
2026-02,2026-02-01,acct_002,AmazonCloudWatch,MetricMonitorUsage,us-west-2,66.40,220.26
2026-02,2026-02-01,acct_002,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,233.46,2358.02
2026-02,2026-02-01,acct_003,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,217.76,1149.33
2026-02,2026-02-01,acct_003,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,177.04,915.65
2026-02,2026-02-01,acct_003,AmazonEC2,BoxUsage:m5.xlarge,eu-central-1,184.58,963.68
2026-02,2026-02-01,acct_003,AmazonS3,TimedStorage-ByteHrs,us-east-1,57.05,2453466.95
2026-02,2026-02-01,acct_003,AmazonS3,TimedStorage-ByteHrs,us-west-2,58.03,2528631.23
2026-02,2026-02-01,acct_003,AmazonS3,TimedStorage-ByteHrs,eu-central-1,65.09,2883290.03
2026-02,2026-02-01,acct_003,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,114.59,476.06
2026-02,2026-02-01,acct_003,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,113.74,471.11
2026-02,2026-02-01,acct_003,AmazonRDS,InstanceUsage:db.r5.large,eu-central-1,124.65,525.65
2026-02,2026-02-01,acct_003,AWSLambda,Lambda-GB-Second,us-east-1,11.10,661604.99
2026-02,2026-02-01,acct_003,AWSLambda,Lambda-GB-Second,us-west-2,10.44,625191.21
2026-02,2026-02-01,acct_003,AWSLambda,Lambda-GB-Second,eu-central-1,11.28,673076.86
2026-02,2026-02-01,acct_003,AmazonCloudWatch,MetricMonitorUsage,us-east-1,11.05,36.79
2026-02,2026-02-01,acct_003,AmazonCloudWatch,MetricMonitorUsage,us-west-2,10.82,35.55
2026-02,2026-02-01,acct_003,AmazonCloudWatch,MetricMonitorUsage,eu-central-1,16.65,54.77
2026-02,2026-02-01,acct_003,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,35.16,358.03
2026-02,2026-02-01,acct_003,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,52.61,519.92
2026-02,2026-02-01,acct_003,AmazonEKS,AmazonEKS-Hours:perCluster,eu-central-1,40.70,408.42
2026-02,2026-02-01,acct_004,AmazonEC2,BoxUsage:m5.xlarge,eu-central-1,397.59,2050.32
2026-02,2026-02-01,acct_004,AmazonS3,TimedStorage-ByteHrs,eu-central-1,107.50,4710481.61
2026-02,2026-02-01,acct_004,AmazonRDS,InstanceUsage:db.r5.large,eu-central-1,221.63,920.01
2026-02,2026-02-01,acct_004,AWSLambda,Lambda-GB-Second,eu-central-1,23.35,1381433.75
2026-02,2026-02-01,acct_004,AmazonCloudWatch,MetricMonitorUsage,eu-central-1,22.89,76.09
2026-02,2026-02-01,acct_004,AmazonEKS,AmazonEKS-Hours:perCluster,eu-central-1,76.60,761.73
2026-02,2026-02-01,acct_005,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,736.53,3874.95
2026-02,2026-02-01,acct_005,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,673.70,3521.21
2026-02,2026-02-01,acct_005,AmazonS3,TimedStorage-ByteHrs,us-east-1,225.86,9819962.87
2026-02,2026-02-01,acct_005,AmazonS3,TimedStorage-ByteHrs,us-west-2,215.03,9378611.08
2026-02,2026-02-01,acct_005,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,447.53,1903.75
2026-02,2026-02-01,acct_005,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,495.49,2072.51
2026-02,2026-02-01,acct_005,AWSLambda,Lambda-GB-Second,us-east-1,37.40,2218806.29
2026-02,2026-02-01,acct_005,AWSLambda,Lambda-GB-Second,us-west-2,100.04,6017990.54
2026-02,2026-02-01,acct_005,AmazonCloudWatch,MetricMonitorUsage,us-east-1,51.08,167.30
2026-02,2026-02-01,acct_005,AmazonCloudWatch,MetricMonitorUsage,us-west-2,51.32,171.85
2026-02,2026-02-01,acct_005,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,134.03,1333.96
2026-02,2026-02-01,acct_005,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,169.11,1691.96
2026-02,2026-02-01,acct_006,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,221.85,1154.28
2026-02,2026-02-01,acct_006,AmazonS3,TimedStorage-ByteHrs,us-east-1,71.16,3098615.59
2026-02,2026-02-01,acct_006,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,159.44,647.29
2026-02,2026-02-01,acct_006,AWSLambda,Lambda-GB-Second,us-east-1,14.81,890162.29
2026-02,2026-02-01,acct_006,AmazonCloudWatch,MetricMonitorUsage,us-east-1,16.96,56.32
2026-02,2026-02-01,acct_006,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,46.82,469.76
2026-02,2026-02-01,acct_007,AmazonEC2,BoxUsage:m5.xlarge,eu-west-1,501.80,2573.47
2026-02,2026-02-01,acct_007,AmazonEC2,BoxUsage:m5.xlarge,eu-central-1,487.96,2533.12
2026-02,2026-02-01,acct_007,AmazonS3,TimedStorage-ByteHrs,eu-west-1,133.02,5722693.70
2026-02,2026-02-01,acct_007,AmazonS3,TimedStorage-ByteHrs,eu-central-1,133.73,5890116.64
2026-02,2026-02-01,acct_007,AmazonRDS,InstanceUsage:db.r5.large,eu-west-1,281.34,1192.55
2026-02,2026-02-01,acct_007,AmazonRDS,InstanceUsage:db.r5.large,eu-central-1,299.64,1254.00
2026-02,2026-02-01,acct_007,AWSLambda,Lambda-GB-Second,eu-west-1,37.16,2239668.91
2026-02,2026-02-01,acct_007,AWSLambda,Lambda-GB-Second,eu-central-1,36.61,2189897.24
2026-02,2026-02-01,acct_007,AmazonCloudWatch,MetricMonitorUsage,eu-west-1,28.80,95.34
2026-02,2026-02-01,acct_007,AmazonCloudWatch,MetricMonitorUsage,eu-central-1,29.23,96.28
2026-02,2026-02-01,acct_007,AmazonEKS,AmazonEKS-Hours:perCluster,eu-west-1,98.69,985.05
2026-02,2026-02-01,acct_007,AmazonEKS,AmazonEKS-Hours:perCluster,eu-central-1,107.39,1082.01
2026-02,2026-02-01,acct_008,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,454.65,2385.26
2026-02,2026-02-01,acct_008,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,276.03,1436.67
2026-02,2026-02-01,acct_008,AmazonEC2,BoxUsage:m5.xlarge,eu-west-1,320.28,1659.49
2026-02,2026-02-01,acct_008,AmazonS3,TimedStorage-ByteHrs,us-east-1,134.35,5878486.70
2026-02,2026-02-01,acct_008,AmazonS3,TimedStorage-ByteHrs,us-west-2,106.51,4583824.91
2026-02,2026-02-01,acct_008,AmazonS3,TimedStorage-ByteHrs,eu-west-1,112.53,4833247.14
2026-02,2026-02-01,acct_008,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,233.36,975.38
2026-02,2026-02-01,acct_008,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,255.83,1072.44
2026-02,2026-02-01,acct_008,AmazonRDS,InstanceUsage:db.r5.large,eu-west-1,237.58,992.93
2026-02,2026-02-01,acct_008,AWSLambda,Lambda-GB-Second,us-east-1,26.78,1613294.91
2026-02,2026-02-01,acct_008,AWSLambda,Lambda-GB-Second,us-west-2,36.56,2148488.28
2026-02,2026-02-01,acct_008,AWSLambda,Lambda-GB-Second,eu-west-1,21.31,1285922.43
2026-02,2026-02-01,acct_008,AmazonCloudWatch,MetricMonitorUsage,us-east-1,22.67,76.67
2026-02,2026-02-01,acct_008,AmazonCloudWatch,MetricMonitorUsage,us-west-2,27.32,91.84
2026-02,2026-02-01,acct_008,AmazonCloudWatch,MetricMonitorUsage,eu-west-1,24.39,81.97
2026-02,2026-02-01,acct_008,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,92.49,927.10
2026-02,2026-02-01,acct_008,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,85.63,858.62
2026-02,2026-02-01,acct_008,AmazonEKS,AmazonEKS-Hours:perCluster,eu-west-1,76.66,765.44
2026-02,2026-02-02,acct_001,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,1411.09,7377.60
2026-02,2026-02-02,acct_001,AmazonEC2,BoxUsage:m5.xlarge,eu-west-1,1612.40,8309.03
2026-02,2026-02-02,acct_001,AmazonS3,TimedStorage-ByteHrs,us-east-1,350.48,15463957.87
2026-02,2026-02-02,acct_001,AmazonS3,TimedStorage-ByteHrs,eu-west-1,342.86,14784357.97
2026-02,2026-02-02,acct_001,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,671.26,2820.54
2026-02,2026-02-02,acct_001,AmazonRDS,InstanceUsage:db.r5.large,eu-west-1,654.74,2764.34
2026-02,2026-02-02,acct_001,AWSLambda,Lambda-GB-Second,us-east-1,177.39,10733091.21
2026-02,2026-02-02,acct_001,AWSLambda,Lambda-GB-Second,eu-west-1,176.27,10822192.82
2026-02,2026-02-02,acct_001,AmazonCloudWatch,MetricMonitorUsage,us-east-1,70.49,230.25
2026-02,2026-02-02,acct_001,AmazonCloudWatch,MetricMonitorUsage,eu-west-1,83.59,277.36
2026-02,2026-02-02,acct_001,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,305.95,3099.59
2026-02,2026-02-02,acct_001,AmazonEKS,AmazonEKS-Hours:perCluster,eu-west-1,259.74,2564.89
2026-02,2026-02-02,acct_002,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,1343.05,6939.50
2026-02,2026-02-02,acct_002,AmazonS3,TimedStorage-ByteHrs,us-west-2,415.63,18165657.98
2026-02,2026-02-02,acct_002,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,766.84,3150.02
2026-02,2026-02-02,acct_002,AWSLambda,Lambda-GB-Second,us-west-2,111.79,6711256.17
2026-02,2026-02-02,acct_002,AmazonCloudWatch,MetricMonitorUsage,us-west-2,76.52,256.23
2026-02,2026-02-02,acct_002,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,352.72,3532.09
2026-02,2026-02-02,acct_003,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,304.13,1587.65
2026-02,2026-02-02,acct_003,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,301.63,1559.91
2026-02,2026-02-02,acct_003,AmazonEC2,BoxUsage:m5.xlarge,eu-central-1,279.60,1459.11
2026-02,2026-02-02,acct_003,AmazonS3,TimedStorage-ByteHrs,us-east-1,78.28,3390266.75
2026-02,2026-02-02,acct_003,AmazonS3,TimedStorage-ByteHrs,us-west-2,76.17,3302954.70
2026-02,2026-02-02,acct_003,AmazonS3,TimedStorage-ByteHrs,eu-central-1,72.48,3177655.84
2026-02,2026-02-02,acct_003,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,113.25,465.77
2026-02,2026-02-02,acct_003,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,122.53,498.62
2026-02,2026-02-02,acct_003,AmazonRDS,InstanceUsage:db.r5.large,eu-central-1,131.67,552.73
2026-02,2026-02-02,acct_003,AWSLambda,Lambda-GB-Second,us-east-1,29.27,1759849.69
2026-02,2026-02-02,acct_003,AWSLambda,Lambda-GB-Second,us-west-2,40.26,2447541.44
2026-02,2026-02-02,acct_003,AWSLambda,Lambda-GB-Second,eu-central-1,35.85,2180045.98
2026-02,2026-02-02,acct_003,AmazonCloudWatch,MetricMonitorUsage,us-east-1,15.39,50.86
2026-02,2026-02-02,acct_003,AmazonCloudWatch,MetricMonitorUsage,us-west-2,14.27,46.85
2026-02,2026-02-02,acct_003,AmazonCloudWatch,MetricMonitorUsage,eu-central-1,13.80,45.83
2026-02,2026-02-02,acct_003,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,65.39,665.12
2026-02,2026-02-02,acct_003,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,53.21,534.18
2026-02,2026-02-02,acct_003,AmazonEKS,AmazonEKS-Hours:perCluster,eu-central-1,54.92,551.79
2026-02,2026-02-02,acct_004,AmazonEC2,BoxUsage:m5.xlarge,eu-central-1,494.50,2528.35
2026-02,2026-02-02,acct_004,AmazonS3,TimedStorage-ByteHrs,eu-central-1,145.63,6293298.28
2026-02,2026-02-02,acct_004,AmazonRDS,InstanceUsage:db.r5.large,eu-central-1,237.63,979.52
2026-02,2026-02-02,acct_004,AWSLambda,Lambda-GB-Second,eu-central-1,56.24,3388831.58
2026-02,2026-02-02,acct_004,AmazonCloudWatch,MetricMonitorUsage,eu-central-1,26.40,88.28
2026-02,2026-02-02,acct_004,AmazonEKS,AmazonEKS-Hours:perCluster,eu-central-1,116.37,1179.05
2026-02,2026-02-02,acct_005,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,1063.79,5458.73
2026-02,2026-02-02,acct_005,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,1212.15,6292.35
2026-02,2026-02-02,acct_005,AmazonS3,TimedStorage-ByteHrs,us-east-1,314.00,13704698.19
2026-02,2026-02-02,acct_005,AmazonS3,TimedStorage-ByteHrs,us-west-2,277.11,12090173.16
2026-02,2026-02-02,acct_005,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,571.05,2428.78
2026-02,2026-02-02,acct_005,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,529.28,2208.87
2026-02,2026-02-02,acct_005,AWSLambda,Lambda-GB-Second,us-east-1,179.32,10668160.80
2026-02,2026-02-02,acct_005,AWSLambda,Lambda-GB-Second,us-west-2,152.27,9133685.47
2026-02,2026-02-02,acct_005,AmazonCloudWatch,MetricMonitorUsage,us-east-1,59.30,196.04
2026-02,2026-02-02,acct_005,AmazonCloudWatch,MetricMonitorUsage,us-west-2,47.37,154.62
2026-02,2026-02-02,acct_005,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,200.03,1991.13
2026-02,2026-02-02,acct_005,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,228.03,2324.50
2026-02,2026-02-02,acct_006,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,418.24,2157.38
2026-02,2026-02-02,acct_006,AmazonS3,TimedStorage-ByteHrs,us-east-1,92.49,4004804.48
2026-02,2026-02-02,acct_006,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,163.06,680.69
2026-02,2026-02-02,acct_006,AWSLambda,Lambda-GB-Second,us-east-1,41.63,2489498.27
2026-02,2026-02-02,acct_006,AmazonCloudWatch,MetricMonitorUsage,us-east-1,20.30,66.91
2026-02,2026-02-02,acct_006,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,76.18,781.64
2026-02,2026-02-02,acct_007,AmazonEC2,BoxUsage:m5.xlarge,eu-west-1,656.22,3466.80
2026-02,2026-02-02,acct_007,AmazonEC2,BoxUsage:m5.xlarge,eu-central-1,666.09,3489.36
2026-02,2026-02-02,acct_007,AmazonS3,TimedStorage-ByteHrs,eu-west-1,164.73,7150178.48
2026-02,2026-02-02,acct_007,AmazonS3,TimedStorage-ByteHrs,eu-central-1,158.42,6917440.10
2026-02,2026-02-02,acct_007,AmazonRDS,InstanceUsage:db.r5.large,eu-west-1,296.34,1242.99
2026-02,2026-02-02,acct_007,AmazonRDS,InstanceUsage:db.r5.large,eu-central-1,340.15,1422.50
2026-02,2026-02-02,acct_007,AWSLambda,Lambda-GB-Second,eu-west-1,67.18,4049117.40
2026-02,2026-02-02,acct_007,AWSLambda,Lambda-GB-Second,eu-central-1,68.83,4168677.11
2026-02,2026-02-02,acct_007,AmazonCloudWatch,MetricMonitorUsage,eu-west-1,27.64,91.82
2026-02,2026-02-02,acct_007,AmazonCloudWatch,MetricMonitorUsage,eu-central-1,27.65,90.78
2026-02,2026-02-02,acct_007,AmazonEKS,AmazonEKS-Hours:perCluster,eu-west-1,163.68,1651.51
2026-02,2026-02-02,acct_007,AmazonEKS,AmazonEKS-Hours:perCluster,eu-central-1,131.20,1292.28
2026-02,2026-02-02,acct_008,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,389.55,2017.89
2026-02,2026-02-02,acct_008,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,762.46,3988.42
2026-02,2026-02-02,acct_008,AmazonEC2,BoxUsage:m5.xlarge,eu-west-1,521.55,2729.05
2026-02,2026-02-02,acct_008,AmazonS3,TimedStorage-ByteHrs,us-east-1,127.07,5508246.88
